S1,DateTime,N1,AC,PS,TI,U,LN,R2
W,2018-04-27 05:00:00,Y,2727,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2987,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2041,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2070,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2964,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,C253,C_050,15-54-SR, ,Bob,
W,2018-04-27 05:00:00,Y,2040,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2383,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2212,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1042,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,Y,2077,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2428,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2440,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1045,C_050,15-54-SR,U/L,Bob,
W,2018-04-27 05:00:00,Y,2408,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1050,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2037,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1052,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,Y,2996,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1055,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,Y,2426,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1085,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1020,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2388,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2216,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2968,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2977,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2982,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2110,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2988,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2420,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2378,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2967,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2985,C_050,15-54-SR,U/L,Bob,ND
